city,state_id,county_name,population,density,zips
Ballplay,AL,Etowah,1707,27,35903 36272
Billingsley,AL,Autauga,138,45,36006
Robertsdale,AL,Baldwin,8784,347,36567
Union Grove,AL,Marshall,78,54,35175
Rainbow City,AL,Etowah,9555,144,35906
Loxley,AL,Baldwin,2336,28,36551 36527 36578
Belgreen,AL,Franklin,78,24,35653
Belk,AL,Fayette,204,56,35545 35574 35555
Hytop,AL,Jackson,346,58,35768
Panola,AL,Sumter,43,23,35477
Steele,AL,St. Clair,1070,61,35987
Ridgeville,AL,Etowah,107,50,35954
Fairford,AL,Washington,87,10,36553
Addison,AL,Winston,728,74,35540
Brantley,AL,Crenshaw,788,97,36009
Ozark,AL,Dale,11678,163,36360 36361
Prattville,AL,Autauga,35498,404,36066 36067 36068
Vandiver,AL,Shelby,1021,19,35147 35176
Shorter,AL,Macon,416,35,36075
Edwardsville,AL,Cleburne,198,4,36262 36272 36261
Newbern,AL,Hale,175,58,36765
Pike Road,AL,Montgomery,9322,109,36064 36013 36116
Monroeville,AL,Monroe,4395,171,36460 36461
Malvern,AL,Geneva,1441,39,36375 36301 36305
Penton,AL,Chambers,120,5,36862
Shelby,AL,Shelby,1413,29,35051 35143
Albertville,AL,Marshall,37220,308,35951 35950
Lester,AL,Limestone,123,25,35647
Chatom,AL,Washington,1211,43,36518
New Site,AL,Tallapoosa,757,29,36256
Egypt,AL,Etowah,810,34,35952 35956
Ladonia,AL,Russell,2923,360,36870 36869
Jacksons' Gap,AL,Tallapoosa,814,36,36861
Putnam,AL,Marengo,71,2,36784
Falkville,AL,Morgan,1248,127,35622
Fruitdale,AL,Washington,75,6,36539
Locust Fork,AL,Blount,1207,120,35097
Gilbertown,AL,Choctaw,200,99,36908
Brent,AL,Bibb,5432,213,35042 35034
Providence,AL,Marengo,204,45,36748 36742
Foley,AL,Baldwin,33113,219,36535 36530 36536
Notasulga,AL,Macon,843,23,36866
Beaverton,AL,Lamar,185,15,35544
Rogersville,AL,Lauderdale,1230,156,35652
Mulga,AL,Jefferson,813,489,35005 35118
Sulligent,AL,Lamar,1845,90,35586
Cardiff,AL,Jefferson,53,81,35073
Sylvania,AL,DeKalb,1882,82,35988 35968
Carlton,AL,Clarke,36,3,36545
Sipsey,AL,Walker,415,333,35584 35063
Wadley,AL,Randolph,715,189,36276
Redstone Arsenal,AL,Madison,1476,73,35808
Sterrett,AL,Shelby,934,15,35147 35178
Ragland,AL,St. Clair,1685,38,35131
Hartselle,AL,Morgan,14373,337,35640
Fitzpatrick,AL,Bullock,45,4,36029
Delta,AL,Clay,221,10,36258
Ivalee,AL,Etowah,915,47,35954
Midland City,AL,Dale,2362,150,36350
Munford,AL,Talladega,1264,190,36268
Chelsea,AL,Shelby,13011,220,35051 35043
Whatley,AL,Clarke,55,16,36482
Tuscumbia,AL,Colbert,8398,351,35674
Graham,AL,Randolph,79,5,36263
Satsuma,AL,Mobile,6154,323,36572
New Brockton,AL,Coffee,1176,56,36351
Gainesville,AL,Sumter,187,42,35464
Carbon Hill,AL,Walker,1928,135,35549
Emelle,AL,Sumter,49,89,35459
Kansas,AL,Walker,213,80,35549 35501 35573
Northport,AL,Tuscaloosa,25094,573,35473 35475 35476 35452
Chunchula,AL,Mobile,158,33,36521
Geraldine,AL,DeKalb,900,88,35974
Heath,AL,Covington,254,110,36421
Fayetteville,AL,Talladega,1395,30,35151 35044
Triana,AL,Madison,540,170,35756
