Geographic area,Area in square miles - Total area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
Cape Girardeau County,586.32,130.8,56.4
Carroll County,701.39,13.4,6.7
Carter County,509.02,12.3,6.4
Cass County,702.49,142.8,57.4
Cedar County,498.65,29.5,15.2
Chariton County,766.76,10.4,5.5
Christian County,563.81,137.6,56.1
Clark County,511.82,14.1,6.9
Clay County,408.67,558.6,236.4
Clinton County,423.48,49.5,21.2
Cole County,401.92,193,82.1
Cooper County,569.18,31.2,13.2
Crawford County,743.75,33.3,16.1
Dade County,506.25,16.1,8.1
Dallas County,542.85,31,14.2
Daviess County,569.05,15,7.5
DeKalb County,425.82,30.6,10.3
Dent County,754.51,20.8,9.7
Douglas County,814.6,16.8,8
Dunklin County,547.18,59.1,26.6
Franklin County,930.69,110,47.1
Gasconade County,524.44,29.4,15.8
Gentry County,491.72,13.7,6.5
Greene County,677.88,407.5,185.7
Grundy County,438.03,23.6,11.5
Harrison County,726.41,12.4,6.1
Henry County,732.33,32,15.6
Hickory County,411.71,24.1,17.1
Holt County,470.35,10.6,6.1
Howard County,471.53,21.9,9.9
Howell County,928.37,43.6,19.4
Iron County,552.06,19.3,9.7
Jackson County,616.25,1115.3,516.3
Jasper County,641.28,183.9,79.4
Jefferson County,664.28,333.1,133.4
Johnson County,833.19,63.4,26
Knox County,506.83,8.2,4.5
Laclede County,768.01,46.5,20.6
Lafayette County,638.94,53.1,23.4
Lawrence County,613.38,63.2,27.2
Lewis County,510.8,20.2,9
Lincoln County,640.46,83.9,33.5
Linn County,621.38,20.7,10.4
Livingston County,538.57,28.5,12.6
McDonald County,539.68,42.8,18.4
Macon County,812.37,19.4,9.6
Madison County,497.6,24.7,12.1
Maries County,529.93,17.4,8.7
Marion County,444.3,65.9,29.4
Mercer County,455.11,8.3,4.7
Miller County,599.99,41.8,21.5
Mississippi County,428.76,34.9,13.9
Moniteau County,418.87,37.6,14.9
Monroe County,670.16,13.6,7.4
Montgomery County,542.01,22.8,11.4
Morgan County,614.02,34.4,26
New Madrid County,696.57,28.1,12.6
Newton County,626.59,93,38.9
Nodaway County,877.88,26.6,10.9
Oregon County,791.54,13.8,6.9
Osage County,610.45,23,10.8
Ozark County,755.23,13.1,7.6
Pemiscot County,513.43,37.1,16.6
Perry County,484.16,40,18.1
Pettis County,686.27,61.9,26.7
Phelps County,674.32,67.2,29.1
Pike County,684.72,27.6,11.7
Platte County,426.8,212.6,93.3
Polk County,642.41,49,20.9
Pulaski County,551.48,95.5,32.7
Putnam County,519.61,9.6,5.8
Ralls County,483.83,21.6,11
Randolph County,487.83,52.7,22.2
Ray County,573.94,41.3,17.6
Reynolds County,814.41,8.3,5
Ripley County,631.64,22.4,10.5
St. Charles County,592.61,643.2,251.6
St. Clair County,702.05,14.6,8.4
Ste. Genevieve County,506.77,36.4,17.3
St. Francois County,454.67,144.6,63
St. Louis County,523.02,1967.2,862.6
Saline County,766.92,30.9,13.4
Schuyler County,308.16,14.4,6.8
Scotland County,439.3,11.1,5.4
Scott County,425.86,93.3,40.4
Shannon County,1004,8.4,4.1
Shelby County,502.32,12.7,6.4
Stoddard County,829.02,36.4,16.5
Stone County,510.78,69.4,43.9
Sullivan County,651.5,10.4,5.2
Taney County,651.64,81.7,46.3
Texas County,1179.22,22.1,9.9
Vernon County,836.83,25.6,11.5
Warren County,437.77,75.9,34.3
Washington County,762.49,33.2,14.5
Wayne County,774.06,17.8,10.6
Webster County,593.76,61.1,24.3
Worth County,266.82,8.1,4.8
Wright County,683.14,27.6,12.8
St. Louis city,66.03,5157.5,2842.9
Montana,147039.71,6.8,3.3
Beaverhead County,5571.89,1.7,1
Big Horn County,5014.61,2.6,0.9
Blaine County,4238.78,1.5,0.7
Broadwater County,1238.76,4.7,2.3
Carbon County,2062.16,4.9,3.1
Carter County,3348.28,0.3,0.2
Cascade County,2711.48,30.1,13.8
Chouteau County,3996.73,1.5,0.7
Custer County,3793.22,3.1,1.5
Daniels County,1426.5,1.2,0.8
Dawson County,2383.17,3.8,1.8
Deer Lodge County,741.2,12.6,7
Fallon County,1623.06,1.8,0.9
Fergus County,4350.41,2.7,1.3
Flathead County,5256.44,17.9,9.2
Gallatin County,2632.07,34.4,16.2
Garfield County,4847.47,0.3,0.2
Glacier County,3036.92,4.5,1.8
Golden Valley County,1176.34,0.8,0.4
Granite County,1733.05,1.8,1.6
Hill County,2916.02,5.6,2.5
Jefferson County,1658.84,6.9,3.1
Judith Basin County,1870.62,1.1,0.7
Lake County,1653.72,19.3,11.1
Lewis and Clark County,3497.72,18.3,8.7
Liberty County,1447.18,1.6,0.7
Lincoln County,3675.13,5.4,3.2
McCone County,2682.82,0.7,0.4
Madison County,3602.79,2.1,1.9
Meagher County,2394.76,0.8,0.6
Mineral County,1223.26,3.5,2
Missoula County,2618.32,42.1,19.3
Musselshell County,1870.91,2.4,1.4
Park County,2813.49,5.6,3.3
Petroleum County,1673.8,0.3,0.2
Phillips County,5211.88,0.8,0.5
Pondera County,1639.84,3.8,1.6
Powder River County,3297.9,0.5,0.3
Powell County,2332.65,3,1.3
Prairie County,1742.57,0.7,0.4
Ravalli County,2400.2,16.8,8.2
Richland County,2103.29,4.7,2.2
Roosevelt County,2369.42,4.4,1.7
Rosebud County,5027.01,1.8,0.8
Sanders County,2789.98,4.1,2.4
Sheridan County,1706.09,2,1.2
Silver Bow County,719.05,47.6,23.3
Stillwater County,1804.58,5.1,2.7
Sweet Grass County,1862.03,2,1.2
Teton County,2292.52,2.7,1.3
Toole County,1945.77,2.8,1.2
Treasure County,984.02,0.7,0.4
Valley County,5061.79,1.5,1
Wheatland County,1428.24,1.5,0.8
Wibaux County,889.93,1.1,0.6
Yellowstone County,2649.03,56.2,24.3
Nebraska,77347.81,23.8,10.4
Adams County,564.23,55.7,23.7
Antelope County,858.59,7.8,3.8
Arthur County,718.31,0.6,0.4
Banner County,746.27,0.9,0.5
Blaine County,714.52,0.7,0.5
Boone County,687.22,8,3.9
Box Butte County,1077.84,10.5,5.1
Boyd County,544.53,3.9,2.6
Brown County,1225.12,2.6,1.5
Buffalo County,975.4,47.6,19.7
Burt County,497.06,14,7.1
Butler County,590.81,14.4,6.9
Cass County,565.89,45.3,19.9
Cedar County,745.85,12,5.6
Chase County,897.5,4.4,2.2
Cherry County,6009.33,1,0.5
Cheyenne County,1196.4,8.4,4.1
Clay County,573.54,11.4,5.2
Colfax County,416.52,25.5,10
Cuming County,574.65,16,7.4
Custer County,2575.88,4.2,2.2
Dakota County,267.42,79.5,28.9
Dawes County,1401.07,6.6,3
Dawson County,1019.43,24,10
Deuel County,440.71,4.4,2.4
Dixon County,482.9,12.6,5.6
Dodge County,543,69.4,31.4
Douglas County,339.35,1574.4,668.5
Dundy County,920.85,2.2,1.2
Fillmore County,576.52,10.2,5.1
Franklin County,576,5.6,3
Frontier County,980.08,2.8,1.6
Furnas County,720.64,6.9,3.8
Gage County,859.96,26.2,12.3
Garden County,1730.88,1.2,0.8
Garfield County,571.38,3.6,2.1
Gosper County,462.72,4.5,2.8
Grant County,783.22,0.8,0.5
Greeley County,570.66,4.5,2.3
Hall County,552.14,107.3,43.1
Hamilton County,547.02,16.8,7.3
Harlan County,574.06,6.2,4.3
Hayes County,713.28,1.4,0.7
Hitchcock County,718.48,4.1,2.5
Holt County,2417.5,4.3,2.2
Hooker County,721.46,1,0.6
Howard County,575.59,11,5.2
Jefferson County,575.67,13.2,6.9
Johnson County,376.73,13.9,5.8
Kearney County,516.35,12.6,5.6
Keith County,1109.74,7.9,5.1
Keya Paha County,773.92,1.1,0.7
Kimball County,952.41,4,2.1
Knox County,1139.72,7.9,4.3
Lancaster County,846.38,340.8,144.3
Lincoln County,2575.13,14.2,6.5
Logan County,571.12,1.3,0.7
Loup County,571.1,1.1,0.7
McPherson County,860.01,0.6,0.3
Madison County,575.45,60.9,26.2
Merrick County,494.5,16.2,7.6
Morrill County,1429.86,3.5,1.7
Nance County,448.23,8.5,4.1
Nemaha County,409.6,17.8,8.6
Nuckolls County,575.82,7.8,4.3
Otoe County,619.02,25.6,11.4
Pawnee County,432.95,6.4,3.7
Perkins County,884.43,3.4,1.6
Phelps County,540.43,17,7.7
Pierce County,574.59,12.7,5.6
Platte County,684.59,47.8,19.8
Polk County,440.64,12.3,6.2
Red Willow County,718.01,15.4,7.3
Richardson County,554.57,15.2,8
Rock County,1011.72,1.5,0.9
Saline County,576.31,24.7,10
Sarpy County,247.52,664.6,259.2
Saunders County,759.82,27.7,12.3
Scotts Bluff County,745.36,50,22.2
Seward County,575.89,29.3,12
Sheridan County,2469.8,2.2,1.2
Sherman County,571.64,5.6,3.4
Sioux County,2067.46,0.6,0.4
Stanton County,431,14.3,6.2
Thayer County,574.98,9.1,4.8
Thomas County,714.02,0.9,0.6
Thurston County,396.08,17.6,6.1
Valley County,570.46,7.5,4
Washington County,393.2,51.9,21.3
Wayne County,443.33,21.7,8.5
Webster County,575.04,6.6,3.3
Wheeler County,575.59,1.4,1
York County,575.83,23.9,10.9
Nevada,110571.82,24.6,10.7
Churchill County,5024.06,5,2.2
Clark County,8060.81,247.3,106.5
Douglas County,737.64,66.2,33.4
Elko County,17202.95,2.8,1.1
Esmeralda County,3589.04,0.2,0.2
Eureka County,4179.96,0.5,0.3
Humboldt County,9657.82,1.7,0.7
Lander County,5519.49,1.1,0.5
Lincoln County,10636.99,0.5,0.3
Lyon County,2024.2,26,11.3
Mineral County,3812.98,1.3,0.8
Nye County,18198.61,2.4,1.2
Pershing County,6067.43,1.1,0.4
Storey County,263.64,15.3,7.6
Washoe County,6542.21,66.9,29.3
White Pine County,8896.76,1.1,0.5
Carson City,157.24,382.1,162.7
New Hampshire,9349.16,147,68.7
Belknap County,468.58,150.1,93.4
Carroll County,992.43,51.4,42.8
Cheshire County,729.1,109.1,49.2
Coos County,1829.73,18.4,11.9
Grafton County,1749.55,52.2,29.9
Hillsborough County,892.21,457.4,189.5
Merrimack County,956.45,156.8,68
Rockingham County,795.11,425,182.4
Strafford County,384,333.7,140.1
Sullivan County,551.99,81.4,41.6
New Jersey,8722.58,1195.5,483.2
Atlantic County,671.83,494.1,227.9
Bergen County,246.67,3884.5,1512.3
Burlington County,819.84,561.9,219.9
Camden County,227.29,2321.5,926.2
Cape May County,620.42,386.9,391
Cumberland County,677.62,324.4,115.4
Essex County,129.63,6211.5,2479.6
Gloucester County,337.18,895.3,341
Hudson County,62.31,13731.4,5852.5
Hunterdon County,437.44,300,115.7
Mercer County,228.89,1632.2,637.6
Middlesex County,322.83,2621.6,954.3
Monmouth County,665.32,1344.7,551.2
Morris County,481.62,1069.8,412.5
Ocean County,915.4,917,442.2
Passaic County,197.11,2715.3,953.3
Salem County,372.33,199.1,82.6
Somerset County,304.86,1071.7,408
Sussex County,535.74,287.6,119.6
Union County,105.4,5216.1,1939.5
Warren County,362.86,304.5,125.9
New Mexico,121590.3,17,7.4
Bernalillo County,1167.19,570.8,244.9
Catron County,6929.17,0.5,0.5
Chaves County,6075.12,10.8,4.4
Cibola County,4541.73,6,2.4
Colfax County,3768.22,3.7,2.7
Curry County,1407.95,34.4,14.3
De Baca County,2333.88,0.9,0.6
Doña Ana County,3814.38,55,21.4
Eddy County,4197.52,12.9,5.4
Grant County,3967.55,7.4,3.7
Guadalupe County,3031.6,1.5,0.8
Harding County,2125.89,0.3,0.2
Hidalgo County,3445.99,1.4,0.7
Lea County,4394.2,14.7,5.7
Lincoln County,4831.31,4.2,3.6
Los Alamos County,109.26,164.4,76.5
Luna County,2965.36,8.5,3.7
McKinley County,5455.28,13.1,4.7
Mora County,1933.62,2.5,1.7
Otero County,6627.5,9.6,4.7
Quay County,2881.58,3.1,1.9
Rio Arriba County,5896.15,6.9,3.4
Roosevelt County,2454.65,8.1,3.3
Sandoval County,3715.94,35.5,14.1
San Juan County,5538.42,23.6,8.9
San Miguel County,4735.66,6.2,3.3
Santa Fe County,1910.87,75.5,37.3
Sierra County,4236.22,2.9,2
Socorro County,6648.75,2.7,1.2
Taos County,2204.42,15,9.2
Torrance County,3345.73,4.9,2.3
Union County,3830.87,1.2,0.6
Valencia County,1068.29,71.8,28.2
New York,54554.98,411.2,172.1
Albany County,533.3,581.9,263.5
Allegany County,1034.39,47.6,25.4
Bronx County,57.48,32903.3,12160.1
Broome County,715.51,284.2,128.3
Cattaraugus County,1322.49,61.4,31.4
Cayuga County,863.67,115.7,52.8
Chautauqua County,1500.18,127.2,63.1
Chemung County,410.78,218.1,94.2
Chenango County,898.63,56.5,27.7
Clinton County,1117.53,79.1,34.6
Columbia County,648.27,99.4,51.6
Cortland County,501.52,98.9,41.3
Delaware County,1467.45,33.3,21.6
Dutchess County,825.35,373.9,149.1
Erie County,1226.85,881.4,402.8
Essex County,1916.23,21.9,14.3
Franklin County,1697.47,31.7,15.5
Fulton County,532.88,112.1,57.6
Genesee County,495.31,121.9,51.9
Greene County,658.05,76.1,45.1
Hamilton County,1807.8,2.8,5.1
Herkimer County,1457.96,45.7,23.6
Jefferson County,1857.22,91.6,45.7
Kings County,96.92,35369.2,14125.3
Lewis County,1289.96,21.3,11.9
Livingston County,640.26,103.5,42.9
Madison County,661.28,112.2,48.5
Monroe County,1366.73,1132.6,487.8
Montgomery County,410.36,124.6,57.2
Nassau County,453.23,4704.8,1645
New York County,33.59,69468.4,37106.4
Niagara County,1139.67,414.4,189.8
Oneida County,1257.66,193.7,85.9
Onondaga County,805.62,600,260
Ontario County,662.53,167.6,74.8
Orange County,838.64,459.3,168.8
Orleans County,817.42,109.6,47.1
Oswego County,1312.08,128.3,56.3
Otsego County,1015.75,62.2,30.7
Putnam County,246.25,432.9,166
Queens County,178.21,20553.6,7694.7
Rensselaer County,665.39,244.4,109.6
Richmond County,102.29,8030.3,3026.5
Rockland County,199.34,1795.9,599.6
St. Lawrence County,2821.44,41.8,19.4
Saratoga County,843.81,271.1,121.8
Schenectady County,209.39,756.6,333.5
Schoharie County,626.33,52.7,27.7
Schuyler County,342.33,55.9,28.8
Seneca County,390.44,108.9,49.6
Steuben County,1404.08,71.2,35.1
Suffolk County,2373.13,1637.4,624.9
Sullivan County,996.72,80.1,50.8
Tioga County,522.88,98.6,42.8
Tompkins County,491.56,214,87.8
Ulster County,1160.76,162.3,74.4
Warren County,931.6,75.8,44.7
Washington County,845.89,76.1,34.7
Wayne County,1383.05,155.3,68
Westchester County,500,2204.7,861.4
Wyoming County,596.29,71.1,30.3
Yates County,375.79,75,39.9
North Carolina,53819.16,196.1,89
Alamance County,434.74,356.5,157
Alexander County,263.65,143.1,62.3
Alleghany County,236.55,47.5,34.4
Anson County,537.09,50.7,21.8
Ashe County,429.27,64,40.7
Avery County,247.23,72,56.2
Beaufort County,958.22,57.7,29.8
Bertie County,741.25,30.4,14
Bladen County,887.16,40.2,20.3
Brunswick County,1049.82,126.8,91.5
Buncombe County,660.14,362.9,172.6
Burke County,515.08,179.3,80.6
Cabarrus County,364.46,492.1,198.9
Caldwell County,474.31,176.1,79.9
Camden County,310.21,41.5,17.1
Carteret County,1340.63,131.3,95.2
Caswell County,428.25,55.8,25
Catawba County,413.42,387.1,170.3
Chatham County,709.83,93.1,42.1
Cherokee County,466.72,60.3,38.5
Chowan County,233.3,85.8,42.3
Clay County,220.63,49.3,33.2
Cleveland County,468.25,211.3,93.4
Columbus County,953.64,62,27.8
Craven County,774.16,146,63.5
Cumberland County,658.37,489.7,207.8
Currituck County,526.59,89.9,55.2
Dare County,1562.56,88.5,87.4
Davidson County,567.02,294.7,131.5
Davie County,267.09,156.1,69.1
Duplin County,821.67,71.7,31.5
Durham County,297.87,935.7,420.4
Edgecombe County,506.65,111.9,49.2
Forsyth County,412.7,859.2,384.4
Franklin County,494.5,123.3,54.1
Gaston County,364.1,578.8,249.1
Gates County,345.69,35.8,15.3
Graham County,301.67,30.3,20.3
Granville County,536.5,112.7,42.9
Greene County,266.4,80.3,30.9
Guilford County,657.63,756.4,337.6
Halifax County,731.18,75.5,35.6
Harnett County,601.3,192.7,78.5
Haywood County,554.62,106.6,63.1
Henderson County,375.23,286.1,146.6
Hertford County,360.35,69.9,30.1
Hoke County,392.3,120.2,46.6
Hyde County,1424.03,9.5,5.5
Iredell County,596.9,277.8,120.3
Jackson County,494.54,82.1,52.9
Johnston County,795.5,213.4,85.5
Jones County,473.22,21.6,10.3
Lee County,259.04,227,94.7
Lenoir County,402.82,148.5,68.5
Lincoln County,307.04,262.7,112.9
McDowell County,446,102.1,47.2
Macon County,519.69,65.8,49
Madison County,451.44,46.2,23.6
Martin County,461.51,53.1,25.4
Mecklenburg County,545.91,1755.5,760.7
Mitchell County,222.09,70.4,39.3
Montgomery County,501.79,56.5,32.4
Moore County,705.85,126.5,63
Nash County,542.77,177.3,78.2
New Hanover County,328.2,1058.1,529.6
Northampton County,550.6,41.2,21.8
Onslow County,905.91,233.1,89.4
Orange County,401.43,336.2,139.7
Pamlico County,566.75,39.1,22.4
Pasquotank County,289.44,179.2,74.2
Pender County,932.79,60,30.7
Perquimans County,328.97,54.4,28.3
Person County,404.08,100.6,46.4
Pitt County,654.82,257.9,115
Polk County,238.54,86.3,48.1
Randolph County,789.35,181.1,78
Richmond County,479.92,98.4,43.8
Robeson County,950.99,141.3,55.6
Rockingham County,572.71,165.6,77.3
Rowan County,523.72,270.7,117.7
Rutherford County,565.85,120.2,60.1
Sampson County,946.6,67.1,28.8
Scotland County,320.32,113.4,47.7
Stanly County,404.84,153.3,68.6
Stokes County,455.63,105.6,48.8
Surry County,536.3,138.4,63.3
Swain County,540.64,26.5,16.5
Transylvania County,380.51,87.4,50.6
Tyrrell County,594.22,11.3,5.3
Union County,639.53,318.7,115.4
Vance County,269.82,179.2,79.2
Wake County,857.32,1078.8,445.2
Warren County,443.76,48.9,27.6
Washington County,423.85,38,18.6
Watauga County,313.45,163.4,102.8
Wayne County,556.85,221.7,95.7
Wilkes County,756.92,91.9,43.8
Wilson County,373.73,220.6,96.5
Yadkin County,337.51,114.7,51.8
Yancey County,313.16,57,35.3
North Dakota,70698.32,9.7,4.6
Adams County,988.71,2.4,1.4
Barnes County,1513.4,7.4,3.8
Benson County,1439.5,4.8,2.1
Billings County,1153.48,0.7,0.4
Bottineau County,1697.35,3.9,2.6
Bowman County,1167.05,2.7,1.4
Burke County,1128.92,1.8,1.2
Burleigh County,1668.3,49.8,21.9
Cass County,1767.9,84.9,38.5
Cavalier County,1509.96,2.7,1.6
Dickey County,1142.13,4.7,2.3
Divide County,1294.23,1.6,1.1
Dunn County,2082.04,1.8,1.1
Eddy County,644.11,3.8,2.1
Emmons County,1555.02,2.4,1.4
Foster County,646.82,5.3,2.8
Golden Valley County,1002.39,1.7,1
Grand Forks County,1439.5,46.5,20.4
Grant County,1665.92,1.4,1
Griggs County,716.44,3.4,2.1
Hettinger County,1133.78,2.2,1.2
Kidder County,1432.91,1.8,1.2
LaMoure County,1150.89,3.6,2
Logan County,1011.24,2,1.2
McHenry County,1911.54,2.9,1.6
McIntosh County,994.74,2.9,1.9
McKenzie County,2860.78,2.3,1.1
McLean County,2328.02,4.2,2.6
Mercer County,1112.49,8.1,4.3
Morton County,1945.45,14.3,6.3
Mountrail County,1941.57,4.2,2.3
Nelson County,1008.82,3.2,2
Oliver County,731.19,2.6,1.3
Pembina County,1121.4,6.6,3.4
Pierce County,1082.33,4.3,2.2
Ramsey County,1300.91,9.6,4.7
Ransom County,863.74,6.3,3.1
Renville County,892.75,2.8,1.6
Richland County,1445.45,11.4,5.2
Rolette County,939.34,15.4,5.9
Sargent County,866.9,4.5,2.3
Sheridan County,1005.64,1.4,0.9
Sioux County,1128.25,3.8,1.2
Slope County,1219.16,0.6,0.4
Stark County,1340.19,18.1,8
Steele County,715.46,2.8,1.6
Stutsman County,2297.91,9.5,4.4
Towner County,1041.48,2.2,1.4
Traill County,862.51,9.4,4.4
Walsh County,1294.1,8.7,4.3
Ward County,2055.96,30.6,13.3
Wells County,1290.37,3.3,2
Williams County,2147.87,10.8,5
Ohio,44825.58,282.3,125.5
Adams County,586.25,48.9,22.2
Allen County,406.85,264.2,111.8
Ashland County,426.8,125.6,52.3
Ashtabula County,1367.9,144.6,65.7
Athens County,508.44,128.6,52.4
Auglaize County,401.91,114.5,48.8
Belmont County,541.27,132.3,61
Brown County,493.45,91.5,39.4
Butler County,470.13,788.2,317.5
Carroll County,398.93,73.1,34.7
Champaign County,429.83,93.5,39.1
Clark County,402.53,348,154.5
Clermont County,459.77,436.5,178.4
Clinton County,412.29,102.9,44.4
Columbiana County,534.69,202.7,88.5
Coshocton County,567.48,65.4,29.3
Crawford County,402.7,109,50.2
Cuyahoga County,1245.59,2800,1360
Darke County,599.76,88.5,38
Defiance County,414.19,94.9,40.7
Delaware County,457.33,393.2,149.8
Erie County,625.99,306.4,150.4
Fairfield County,508.56,289.8,116.3
Fayette County,407.02,71.4,31.2
Franklin County,543.51,2186.1,990.6
Fulton County,407.23,105.3,42.9
Gallia County,471.2,66.3,29.8
Geauga County,408.29,233.4,91.4
Greene County,416.26,390.5,164.9
Guernsey County,528.3,76.8,36.8
Hamilton County,412.63,1976.7,929.7
Hancock County,533.66,140.7,62.4
Hardin County,470.65,68.1,27.8
Harrison County,410.77,39.4,20.3
Henry County,419.75,67.8,28.8
Highland County,557.79,78.8,35
Hocking County,423.63,69.7,31.8
Holmes County,423.98,100.3,32.3
Huron County,494.82,121.3,51.3
Jackson County,421.53,79,34.7
Jefferson County,410.95,170.7,80.4
Knox County,529.63,115.9,47.8
Lake County,979.2,1011.2,444.9
Lawrence County,457.27,137.7,60.9
Licking County,687.49,243.9,101.5
Logan County,466.77,100,50.6
Lorain County,923.33,613.6,258.7
Lucas County,595.88,1296.2,594.5
Madison County,466.63,93.2,34.2
Mahoning County,425.29,580.2,271.7
Marion County,404.11,164.7,68.9
Medina County,423.02,409,164.2
Meigs County,433,55.3,26
Mercer County,473.42,88.3,38.1
Miami County,409.66,252.1,108.8
Monroe County,457.46,32.1,16.6
Montgomery County,464.33,1159.5,552
Morgan County,421.78,36.2,19
Morrow County,407.22,85.8,34.9
Muskingum County,672.58,129.5,57.3
Noble County,404.57,36.8,15.2
Ottawa County,585.06,162.5,109.5
Paulding County,418.85,47.1,21
Perry County,412.49,88.4,37.3
Pickaway County,506.55,111.1,42.4
Pike County,443.98,65.2,28.3
Portage County,504.06,331.2,138.4
Preble County,426.46,99.7,42.2
Putnam County,484.3,71.5,28.5
Richland County,500.08,251.3,110.2
Ross County,693.02,113.3,46.6
Sandusky County,417.71,149.2,64.6
Scioto County,616.15,130.3,56
Seneca County,552.79,103,43.8
Shelby County,410.69,121.2,49.5
Stark County,580.53,652.9,287.2
Summit County,420.06,1312.6,593.8
Trumbull County,636.57,340.1,155.5
Tuscarawas County,571.45,163.1,70.8
Union County,436.87,121.1,45
Van Wert County,410.43,70.3,30.8
Vinton County,414.98,32.6,15.3
Warren County,407.31,530,201.2
Washington County,640,97.8,44.9
Wayne County,556.82,206.4,82.6
Williams County,423.09,89.4,39.6
Wood County,620.49,203.3,86.5
Wyandot County,407.55,55.6,24.3
Oklahoma,69898.87,54.7,24.3
Adair County,577.05,39.6,15.9
Alfalfa County,881.34,6.5,3.2
Atoka County,989.91,14.5,6.5
Beaver County,1817.51,3.1,1.5
Beckham County,903.94,24.5,10.7
Blaine County,938.79,12.9,5.6
Bryan County,943.94,46.9,21.7
Caddo County,1290.19,23.2,10.3
Canadian County,905.6,128.9,51.1
Carter County,833.76,57.8,25.7
Cherokee County,776.29,62.7,28.6
Choctaw County,799.57,19.7,9.8
Cimarron County,1840.89,1.3,0.9
Cleveland County,558.09,474.7,194.6
Coal County,521.35,11.5,5.4
Comanche County,1083.7,116.1,47.5
Cotton County,641.96,9.8,4.8
Craig County,762.78,19.7,8.9
Creek County,969.83,73.6,31.3
Custer County,1002.07,27.8,12.3
Delaware County,792.31,56.2,33.6
Dewey County,1008.24,4.8,2.4
Ellis County,1231.88,3.4,1.9
Garfield County,1060.06,57.2,25.3
Garvin County,813.69,34.4,16
Grady County,1104.9,47.6,20.2
Grant County,1003.58,4.5,2.5
Greer County,643.63,9.8,4.3
Harmon County,538.66,5.4,2.9
Harper County,1041.05,3.5,1.8
Haskell County,625.27,22.1,10.5
Hughes County,814.88,17.4,7.7
Jackson County,804.24,32.9,15
Jefferson County,774.08,8.5,4.5
Johnston County,658.24,17,8
Kay County,944.97,50.6,23.6
Kingfisher County,906.02,16.7,7.1
Kiowa County,1030.7,9.3,5.1
Latimer County,729.11,15.4,6.9
Le Flore County,1608.53,31.7,13.5
Lincoln County,965.68,36,16
Logan County,748.83,56.3,23.1
Love County,532.39,18.3,8.8
McClain County,580.25,60.5,24.5
McCurtain County,1902.38,17.9,8.4
McIntosh County,712.29,32.7,21.6
Major County,957.94,7.9,3.8
Marshall County,426.93,42.7,27
Mayes County,683.51,63,29.4
Murray County,425.09,32.4,16.2
Muskogee County,839.78,87.6,38.1
Noble County,742.54,15.8,7.3
Nowata County,580.78,18.6,8.5
Okfuskee County,628.87,19.7,8.5
Oklahoma County,718.37,1013.8,451.2
Okmulgee County,702.33,57.5,25.7
Osage County,2303.97,21.1,9.4
Ottawa County,484.61,67.6,29.9
Pawnee County,594.76,29.2,13.6
Payne County,696.97,113,49.6
Pittsburg County,1377.83,35.1,17.3
Pontotoc County,725.22,52,23
Pottawatomie County,793.4,88.2,37
Pushmataha County,1422.86,8.3,4.4
Roger Mills County,1146.42,3.2,1.7
Rogers County,711.5,128.6,52
Seminole County,640.47,40.3,18.4
Sequoyah County,714.15,63,27.7
Stephens County,891.36,51.8,23.7
Texas County,2048.68,10.1,4
Tillman County,879.2,9.2,4.7
Tulsa County,587.02,1058.1,470.7
Wagoner County,590.68,130.1,52.9
Washington County,424.27,122.7,56.4
Washita County,1008.8,11.6,5.5
Woods County,1289.96,6.9,3.5
Woodward County,1246.14,16.2,7.1
Oregon,98378.54,39.9,17.5
Baker County,3088.37,5.3,2.9
Benton County,678.61,126.6,53.6
Clackamas County,1882.61,201,83.9
Clatsop County,1084.38,44.7,26
Columbia County,688.33,75.1,31.5
Coos County,1806.36,39.5,19.2
Crook County,2987.27,7,3.4
Curry County,1988.34,13.7,7.8
Deschutes County,3054.77,52.3,26.6
Douglas County,5133.77,21.4,9.7
Gilliam County,1222.84,1.6,1
Grant County,4529.27,1.6,1
Harney County,10226.41,0.7,0.4
Hood River County,533.19,42.8,17.8
Jackson County,2801.65,73,32.7
Jefferson County,1790.91,12.2,5.5
Josephine County,1641.85,50.4,23.2
Klamath County,6135.55,11.2,5.5
Lake County,8358.26,1,0.5
Lane County,4721.87,77.2,34.3
Lincoln County,1193.78,47,31.2
Linn County,2308.96,50.9,21.3
Malheur County,9929.7,3.2,1.2
Marion County,1192.5,266.7,102.3
Morrow County,2048.51,5.5,2.2
Multnomah County,465.6,1704.9,753.2
Polk County,743.91,101.8,40.9
Sherman County,831.19,2.1,1.1
Tillamook County,1332.76,22.9,16.7
Umatilla County,3231.41,23.6,9.2
Union County,2038.53,12.6,5.6
Wallowa County,3151.67,2.2,1.3
Wasco County,2395.4,10.6,4.8
Washington County,726.42,731.4,293.3
Wheeler County,1715.23,0.8,0.5
Yamhill County,718.34,138.6,51.8
Pennsylvania,46054.34,283.9,124.4
Adams County,521.79,195.5,78.7
Allegheny County,744.52,1675.6,807
Armstrong County,663.84,105.5,49.8
Beaver County,444.04,392.3,179.9
Bedford County,1016.91,49.2,23.7
Berks County,865.76,480.4,192.4
Blair County,527.07,241.7,107
Bradford County,1161.02,54.6,26.1
Bucks County,621.87,1034.7,407
Butler County,794.75,233.1,99.1
Cambria County,693.63,208.7,95.4
Cameron County,398.42,12.8,11.2
Carbon County,387.39,171.1,89.9
Centre County,1112.96,138.7,57
