GEO.id,GEO.id2,GEO.display-label,GC_RANK.target-geo-id,GC_RANK.target-geo-id2,GC_RANK.rank-label,GC_RANK.display-label,GC_RANK.display-label,rescensus42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Rank,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
0100000US,,United States,1620000US1245000,1245000,40,"United States - Miami city, Florida","Miami city, Florida",399457,399530,400841,410673,415270,419829,429365,439404,454293,462030,470914
0100000US,,United States,1620000US3755000,3755000,41,"United States - Raleigh city, North Carolina","Raleigh city, North Carolina",403892,404073,406355,413932,423095,431102,439347,449427,459194,465524,469298
0100000US,,United States,1620000US3137000,3137000,42,"United States - Omaha city, Nebraska","Omaha city, Nebraska",408958,450238,450887,453217,456338,459091,461386,463472,465554,466774,468262
0100000US,,United States,1620000US0643000,643000,43,"United States - Long Beach city, California","Long Beach city, California",462257,462211,462440,464569,467064,468303,469539,470708,469435,467367,467354
0100000US,,United States,1620000US5182000,5182000,44,"United States - Virginia Beach city, Virginia","Virginia Beach city, Virginia",437994,437903,438855,442536,445038,447732,448913,450474,451136,449962,450189
0100000US,,United States,1620000US0653000,653000,45,"United States - Oakland city, California","Oakland city, California",390724,390792,391449,396135,401228,406844,413156,418263,420798,423869,429082
0100000US,,United States,1620000US2743000,2743000,46,"United States - Minneapolis city, Minnesota","Minneapolis city, Minnesota",382578,382603,383067,388022,392775,400108,407122,411150,415239,421072,425403
0100000US,,United States,1620000US4075000,4075000,47,"United States - Tulsa city, Oklahoma","Tulsa city, Oklahoma",391906,392010,392421,393111,394875,398649,400162,403733,404182,402119,400669
0100000US,,United States,1620000US4804000,4804000,48,"United States - Arlington city, Texas","Arlington city, Texas",365438,365337,366136,370485,375906,379266,383074,389101,394780,397105,398112
0100000US,,United States,1620000US1271000,1271000,49,"United States - Tampa city, Florida","Tampa city, Florida",335709,336154,337062,346778,348655,352426,358754,367413,376170,386577,392890
0100000US,,United States,1620000US2255000,2255000,50,"United States - New Orleans city, Louisiana","New Orleans city, Louisiana",343829,343828,347770,360686,369761,378623,383930,389791,391977,391538,391006
0100000US,,United States,1620000US2079000,2079000,51,"United States - Wichita city, Kansas","Wichita city, Kansas",382368,382423,382726,383729,385753,387240,388465,389437,390549,390307,389255
0100000US,,United States,1620000US3916000,3916000,52,"United States - Cleveland city, Ohio","Cleveland city, Ohio",396815,396629,395890,392594,391500,391759,390850,389248,387708,385428,383793
0100000US,,United States,1620000US0603526,603526,53,"United States - Bakersfield city, California","Bakersfield city, California",347483,348255,349408,353640,357858,363449,367705,372295,375844,379171,383579
0100000US,,United States,1620000US0804000,804000,54,"United States - Aurora city, Colorado","Aurora city, Colorado",325078,324675,326073,332627,339080,345276,352391,359679,362941,367255,374114
0100000US,,United States,1620000US0602000,602000,55,"United States - Anaheim city, California","Anaheim city, California",336265,336443,337106,340202,342526,344369,345223,348967,350848,351301,352005
0100000US,,United States,1620000US1571550,1571550,56,"United States - Urban Honolulu CDP, Hawaii","Urban Honolulu CDP, Hawaii",337256,337721,339143,343040,346868,349275,349627,351684,351883,349651,347397
0100000US,,United States,1620000US0669000,669000,57,"United States - Santa Ana city, California","Santa Ana city, California",324528,324778,325340,328255,330650,333887,333669,333736,334175,333007,332725
0100000US,,United States,1620000US0662000,662000,58,"United States - Riverside city, California","Riverside city, California",303871,304033,305568,309556,312432,315667,317887,320673,323877,326988,330063
0100000US,,United States,1620000US4817000,4817000,59,"United States - Corpus Christi city, Texas","Corpus Christi city, Texas",305215,305226,305281,308096,312415,317101,320863,324795,325947,325373,326554
0100000US,,United States,1620000US2146027,2146027,60,"United States - Lexington-Fayette urban county, Kentucky","Lexington-Fayette urban county, Kentucky",295803,295867,296847,301736,306075,310010,311955,316002,319738,322193,323780
0100000US,,United States,1620000US0675000,675000,61,"United States - Stockton city, California","Stockton city, California",291707,291731,292446,294922,296666,297172,300670,303926,306407,309316,311178
0100000US,,United States,1620000US3231900,3231900,62,"United States - Henderson city, Nevada","Henderson city, Nevada",257729,257073,257532,258834,263409,268450,274474,282423,289784,299631,310390
0100000US,,United States,1620000US2758000,2758000,63,"United States - St. Paul city, Minnesota","St. Paul city, Minnesota",285068,285067,285465,288812,291244,295045,297674,300010,303155,305255,307695
0100000US,,United States,1620000US2965000,2965000,64,"United States - St. Louis city, Missouri","St. Louis city, Missouri",319294,319275,319318,319294,319387,318459,317395,315878,312389,307866,302838
0100000US,,United States,1620000US3915000,3915000,65,"United States - Cincinnati city, Ohio","Cincinnati city, Ohio",296943,296893,296837,296020,296758,297775,298509,299338,299707,301648,302605
0100000US,,United States,1620000US4261000,4261000,66,"United States - Pittsburgh city, Pennsylvania","Pittsburgh city, Pennsylvania",305704,305376,305410,306107,306470,307022,306092,304211,304814,301720,301048
0100000US,,United States,1620000US3728000,3728000,67,"United States - Greensboro city, North Carolina","Greensboro city, North Carolina",269666,268924,269587,272396,276024,279244,282275,284808,289597,292209,294722
0100000US,,United States,1620000US0203000,203000,68,"United States - Anchorage municipality, Alaska","Anchorage municipality, Alaska",291826,291829,293310,296154,298233,301155,299927,297613,297216,294264,291538
0100000US,,United States,1620000US4858016,4858016,69,"United States - Plano city, Texas","Plano city, Texas",259841,259857,261222,266963,272240,274587,278062,283416,286576,286815,288061
0100000US,,United States,1620000US3128000,3128000,70,"United States - Lincoln city, Nebraska","Lincoln city, Nebraska",258379,258602,259261,262466,265663,268937,273945,277178,281254,284506,287401
0100000US,,United States,1620000US1253000,1253000,71,"United States - Orlando city, Florida","Orlando city, Florida",238300,238813,239308,243585,249930,255156,262507,270622,278130,281143,285713
